prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
TORINO,Piemonte,1994,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,324,0,0,82,0,463
AOSTA,Aosta,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,2,0,26
VERCELLI,Piemonte,152,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22,0,0,3,0,32
NOVARA,Piemonte,324,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,52,0,0,5,0,72
CUNEO,Piemonte,515,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,80,0,0,8,0,106
ASTI,Piemonte,190,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,8,0,42
ALESSANDRIA,Piemonte,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,0,0,2,0,53
BIELLA,Piemonte,157,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,1,0,25
VERBANIA,Piemonte,142,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,0,0,4,0,41
GENOVA,Liguria,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,11,0,0,0,0,218
LA SPEZIA,Liguria,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,40
IMPERIA,Liguria,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,18,0,0,0,0,54
SAVONA,Liguria,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,41,0,0,0,0,76
MILANO,Lombardia,2873,0,0,0,37,0,0,333,0,0,0,26,0,0,0,0,150,0,0,29,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,89,0,0,87,0,0,51,0,0,0,0,0,701
VARESE,Lombardia,782,0,0,0,6,0,0,35,0,0,0,4,0,0,0,0,26,0,0,10,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,11,0,0,3,0,0,0,0,0,113
COMO,Lombardia,530,0,0,0,0,0,0,21,0,0,0,5,0,0,0,0,30,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,10,0,0,4,0,0,0,0,0,80
SONDRIO,Lombardia,159,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,1,0,0,0,0,0,22
BERGAMO,Lombardia,970,0,0,0,10,0,0,57,0,0,265,2,0,0,0,0,70,0,0,6,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,22,0,0,11,0,0,0,0,0,354
BRESCIA,Lombardia,1104,0,0,0,16,0,0,42,0,0,0,7,0,0,0,0,66,0,0,5,246,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,39,0,0,10,0,0,0,0,0,341
PAVIA,Lombardia,485,0,0,0,1,0,0,31,0,0,0,2,0,0,0,0,19,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,69,3,0,0,14,0,0,11,0,0,0,0,0,129
CREMONA,Lombardia,316,0,0,0,2,0,0,13,0,0,1,1,0,0,0,0,10,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,38
MANTOVA,Lombardia,361,0,0,0,2,0,0,9,0,0,0,1,106,0,0,0,14,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,125
LECCO,Lombardia,296,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,11,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,2,0,0,0,0,0,55
LODI,Lombardia,201,0,0,0,2,0,0,19,0,0,0,2,0,0,0,0,9,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,2,0,0,0,0,0,58
MONZA E DELLA BRIANZA,Lombardia,766,0,0,0,12,0,0,61,0,0,0,2,0,0,0,0,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,8,0,0,10,0,0,0,0,0,118
TRENTO,Trentino,472,90,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130
BOLZANO,Trentino,455,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
VENEZIA,Veneto,756,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,28,0,103,0,0,0,0,0,0,0,1,0,0,0,0,0,73,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,188
VERONA,Veneto,812,0,0,155,0,0,0,15,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,188
VICENZA,Veneto,755,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,27,0,6,0,0,0,171,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,204
BELLUNO,Veneto,181,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,56
ROVIGO,Veneto,210,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,61
TREVISO,Veneto,776,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,26,0,84,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,0,0,0,0,80,0,0,177
PADOVA,Veneto,827,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,45,0,72,0,0,0,2,0,0,0,140,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,217
TRIESTE,Friuli,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,74
GORIZIA,Friuli,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,40
PORDENONE,Friuli,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
UDINE,Friuli,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,177
BOLOGNA,Emilia-Romagna,898,0,0,0,0,0,0,27,15,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,159,62,0,0,16,7,0,0,0,0,277
PIACENZA,Emilia-Romagna,254,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,100
REGGIO EMILIA,Emilia-Romagna,462,0,0,0,0,0,0,12,7,0,0,0,0,0,1,75,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,24,0,0,3,2,0,0,0,0,166
MODENA,Emilia-Romagna,618,0,0,0,0,0,0,14,7,0,0,0,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,58,14,0,0,8,2,0,0,0,0,172
PARMA,Emilia-Romagna,398,0,0,0,0,0,0,18,2,0,0,0,0,0,119,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,6,3,0,0,0,0,156
FERRARA,Emilia-Romagna,310,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,72,9,0,0,6,2,0,0,0,0,115
RAVENNA,Emilia-Romagna,345,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,16,0,0,10,15,0,0,0,0,127
FORLI',Emilia-Romagna,347,0,0,0,0,0,0,9,6,0,0,0,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,11,0,0,10,9,0,0,0,0,100
