prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
TORINO,Piemonte,1994,0,0,0,0,0,0,57,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,45,336,0,0,61,0,487
AOSTA,Aosta,110,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,22,0,0,1,0,28
VERCELLI,Piemonte,152,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,2,0,26
NOVARA,Piemonte,324,0,0,0,0,0,0,8,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,36,0,0,7,0,63
CUNEO,Piemonte,515,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,8,81,0,0,13,0,111
ASTI,Piemonte,190,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,33,0,0,5,0,43
ALESSANDRIA,Piemonte,376,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,33,0,0,2,0,63
BIELLA,Piemonte,157,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,23,0,0,1,0,31
VERBANIA,Piemonte,142,0,0,0,0,0,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,21,0,0,5,0,37
GENOVA,Liguria,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,11,0,0,0,0,205
LA SPEZIA,Liguria,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,46
IMPERIA,Liguria,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,16,0,0,0,0,48
SAVONA,Liguria,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,37,0,0,0,0,71
MILANO,Lombardia,2873,0,0,0,28,0,0,318,0,0,1,31,1,0,0,118,0,0,35,4,0,0,32,0,0,0,0,0,0,0,0,0,0,0,3,69,0,0,94,0,0,61,24,0,0,31,0,639
VARESE,Lombardia,782,0,0,0,4,0,0,43,0,0,0,4,0,0,0,28,0,0,15,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,11,0,0,6,6,0,0,6,0,116
COMO,Lombardia,530,0,0,0,0,0,0,18,0,0,1,2,2,0,0,18,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,0,0,7,0,0,0,4,0,71
SONDRIO,Lombardia,159,0,0,0,0,0,0,6,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,1,0,0,1,0,28
BERGAMO,Lombardia,970,0,0,0,6,0,0,74,0,0,292,2,1,0,0,71,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,28,0,0,17,3,0,0,7,0,387
BRESCIA,Lombardia,1104,0,0,0,15,0,0,54,0,0,1,15,0,0,0,58,0,0,11,261,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,31,0,0,18,2,0,0,6,0,363
PAVIA,Lombardia,485,0,0,0,1,0,0,33,0,0,0,3,0,0,0,23,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,70,5,0,0,20,0,0,13,13,0,0,2,0,146
CREMONA,Lombardia,316,0,0,0,2,0,0,21,0,0,1,2,3,0,0,10,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,2,0,0,3,0,47
MANTOVA,Lombardia,361,0,0,0,3,0,0,11,0,0,0,4,97,0,0,15,0,0,5,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,1,0,127
LECCO,Lombardia,296,0,0,0,1,0,0,16,0,0,0,0,0,0,0,8,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,4,0,0,0,4,0,47
LODI,Lombardia,201,0,0,0,0,0,0,15,0,0,0,1,0,0,0,7,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,0,3,0,0,0,1,0,50
MONZA E DELLA BRIANZA,Lombardia,766,0,0,0,8,0,0,77,0,0,0,7,0,0,0,31,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,20,0,0,14,2,0,0,1,0,149
TRENTO,Trentino,472,121,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
BOLZANO,Trentino,455,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
VENEZIA,Veneto,756,0,0,0,0,0,0,25,0,0,0,0,0,0,0,26,0,98,0,0,0,0,0,0,0,1,0,0,0,0,0,58,0,0,0,0,0,0,11,0,0,4,0,0,1,0,0,186
VERONA,Veneto,812,0,0,146,0,0,0,20,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,192
VICENZA,Veneto,755,0,0,1,0,0,0,15,0,0,0,0,0,0,0,16,0,4,0,0,0,160,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,201
BELLUNO,Veneto,181,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,54
ROVIGO,Veneto,210,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,64
TREVISO,Veneto,776,0,0,0,0,0,0,35,0,0,0,0,0,0,0,33,0,96,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,10,0,0,88,0,0,203
PADOVA,Veneto,827,0,0,0,0,0,0,20,0,0,0,0,0,0,0,46,0,70,0,0,0,1,0,0,0,131,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,17,0,0,1,0,0,212
TRIESTE,Friuli,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,79
