prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,QUOTIDIANI AUDIPRESS
BARI,Puglia,1102,0,0,0,0,0,0,17,21,0,0,0,0,125,0,0,72,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,12,0,0,207
FOGGIA,Puglia,545,0,0,0,0,0,0,26,36,0,0,0,0,90,0,0,46,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,21,0,0,151
TARANTO,Puglia,510,0,0,0,0,0,0,10,25,0,0,0,0,32,0,0,46,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,53,0,0,0,0,0,0,10,0,0,0,0,0,0,16,0,0,117
BRINDISI,Puglia,350,0,0,0,0,0,0,11,14,0,0,0,0,46,0,0,38,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,89,0,0,0,0,0,0,11,0,0,0,0,0,0,14,0,0,132
LECCE,Puglia,708,0,0,0,0,0,0,13,17,0,0,0,0,39,0,0,36,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,136,0,0,0,0,0,0,18,0,0,0,0,0,0,10,0,0,205
BARLETTA-ANDRIA-TRANI,Puglia,339,0,0,0,0,0,0,11,25,0,0,0,0,61,0,0,33,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,10,0,0,91
POTENZA,Basilicata,330,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
MATERA,Basilicata,176,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
REGGIO CALABRIA,Sicilia,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
COSENZA,Sicilia,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
