prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,METRO,QUOTIDIANI AUDIPRESS
CHIETI,Abruzzo,344,0,0,0,0,49,0,0,10,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
CAMPOBASSO,Molise,200,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
ISERNIA,Molise,77,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
NAPOLI,Campania,2652,0,0,0,0,0,0,114,152,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,631
CASERTA,Campania,792,0,0,0,0,0,0,16,68,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,186
BENEVENTO,Campania,247,0,0,0,0,0,0,5,25,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,64
AVELLINO,Campania,374,0,0,0,0,0,0,8,25,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,112
SALERNO,Campania,965,0,0,0,0,0,0,17,18,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,172
BARI,Puglia,1102,0,0,0,0,0,0,20,24,0,0,0,0,134,0,0,60,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,35,0,0,0,0,0,0,14,0,0,0,227
FOGGIA,Puglia,545,0,0,0,0,0,0,15,21,0,0,0,0,77,0,0,40,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,7,0,0,0,134
TARANTO,Puglia,510,0,0,0,0,0,0,19,15,0,0,0,0,43,0,0,33,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,52,0,0,0,0,0,0,13,0,0,0,0,0,0,16,0,0,0,137
BRINDISI,Puglia,350,0,0,0,0,0,0,8,13,0,0,0,0,48,0,0,30,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,60,0,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0,117
LECCE,Puglia,708,0,0,0,0,0,0,15,10,0,0,0,0,28,0,0,26,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,116,0,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0,0,177
BARLETTA-ANDRIA-TRANI,Puglia,339,0,0,0,0,0,0,12,7,0,0,0,0,55,0,0,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,80
POTENZA,Basilicata,330,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
MATERA,Basilicata,176,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
REGGIO CALABRIA,Sicilia,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
COSENZA,Sicilia,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
