prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLE ALPI,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA (CR),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TEMPO,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,METRO,QUOTIDIANI AUDIPRESS
COMO,Lombardia,521,0,0,0,2,0,0,0,32,0,0,0,0,0,0,0,0,48,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,121,0,1,1,0,0,7,0,0,11,1,0,0,0,9,0,7,7,196
SONDRIO,Lombardia,159,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,17,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,37,0,0,20,0,0,5,0,0,1,0,0,0,0,3,0,0,0,68
BERGAMO,Lombardia,951,0,0,0,0,0,0,0,56,0,0,266,0,0,0,0,0,81,0,0,11,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,20,0,0,8,4,0,0,0,2,0,6,5,356
BRESCIA,Lombardia,1087,0,0,0,15,0,0,0,68,0,0,5,0,5,0,0,0,131,0,0,11,365,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,28,0,0,29,5,0,0,0,5,0,1,2,475
PAVIA,Lombardia,484,0,0,0,3,0,0,0,37,0,0,0,0,0,0,0,0,45,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,152,8,0,0,13,0,0,2,4,0,0,0,6,0,6,7,201
CREMONA,Lombardia,317,0,0,0,7,0,0,0,33,0,0,0,0,1,0,0,0,50,0,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,124,0,4,0,0,19,0,0,10,7,0,0,0,13,0,1,3,164
MANTOVA,Lombardia,362,0,0,0,1,0,0,0,25,0,0,0,0,157,0,0,0,39,0,0,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,14,0,0,9,17,0,0,0,3,0,0,0,197
LECCO,Lombardia,295,0,0,0,2,0,0,0,27,0,0,0,0,0,0,0,0,35,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,0,0,9,0,0,8,0,0,3,5,0,0,0,7,0,7,7,122
LODI,Lombardia,199,0,0,0,2,0,0,0,26,0,0,0,0,0,0,0,0,33,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,8,0,0,7,3,0,0,0,8,0,4,4,74
MONZA E DELLA BRIANZA,Lombardia,748,0,0,0,5,0,0,0,89,0,0,0,0,0,0,0,0,50,0,0,23,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,0,0,55,0,0,19,0,0,9,0,0,0,0,7,0,18,15,222
TRENTO,Trentino,462,177,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250
BOLZANO,Trentino,441,4,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
VENEZIA,Veneto,754,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,61,0,144,0,0,0,0,0,0,0,6,0,0,0,0,0,112,0,0,0,0,0,0,0,0,47,0,0,5,0,0,0,3,0,0,0,0,292
VERONA,Veneto,799,0,0,218,0,0,0,1,29,0,0,0,0,0,0,0,0,46,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,0,266
VICENZA,Veneto,750,0,0,5,0,0,0,0,34,0,0,0,0,0,0,0,0,55,0,21,0,0,0,203,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,0,7,0,0,0,1,0,0,0,0,289
BELLUNO,Veneto,184,0,0,0,0,0,0,48,6,0,0,0,0,0,0,0,0,13,0,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,74
ROVIGO,Veneto,217,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,32,0,59,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,95
