prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLE ALPI,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA (CR),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TEMPO,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,METRO,QUOTIDIANI AUDIPRESS
PISA,Toscana,369,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,30,0,0,0,0,0,113,0,3,0,0,0,173
GROSSETO,Toscana,200,0,0,0,0,0,0,0,9,5,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,5,0,0,0,0,0,49,0,3,0,0,0,78
PISTOIA,Toscana,257,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,6,0,0,0,0,0,54,0,9,0,0,0,105
AREZZO,Toscana,305,0,0,0,0,0,0,0,10,14,35,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,5,0,0,0,0,0,0,0,9,0,0,0,105
SIENA,Toscana,238,0,0,0,0,0,0,0,7,1,15,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,7,0,0,0,0,0,2,0,0,0,0,0,86
PRATO,Toscana,219,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,16,0,0,0,0,0,31,0,9,0,0,0,87
ANCONA,Marche,418,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,156
PESARO URBINO,Marche,317,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,134
MACERATA,Marche,282,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,149
ASCOLI PICENO,Marche,187,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,83
FERMO,Marche,155,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,55
PERUGIA,Umbria,582,0,0,0,0,0,0,0,0,40,131,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,229
TERNI,Umbria,205,0,0,0,0,0,0,0,0,20,40,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,75
ROMA,Lazio,3771,0,0,0,56,0,0,0,177,342,11,0,67,0,0,0,0,100,0,0,44,0,0,0,0,0,0,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,63,0,59,0,0,30,0,389,437,1519
VITERBO,Lazio,284,0,0,0,5,0,0,0,9,34,63,0,1,0,0,0,0,16,0,0,2,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,15,0,0,3,0,6,6,118
RIETI,Lazio,141,0,0,0,2,0,0,0,3,13,27,0,1,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,8,0,0,5,0,2,2,52
LATINA,Lazio,498,0,0,0,5,0,0,0,2,25,0,0,1,0,0,0,0,25,0,0,13,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,3,0,19,0,0,9,0,0,2,113
FROSINONE,Lazio,438,0,0,0,6,0,0,0,5,33,0,0,0,0,0,0,0,30,0,0,16,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,2,0,20,0,0,14,0,5,4,114
L'AQUILA,Abruzzo,270,0,0,0,0,65,0,0,0,23,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
TERAMO,Abruzzo,273,0,0,0,0,54,0,0,0,14,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
PESCARA,Abruzzo,282,0,0,0,0,81,0,0,0,11,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
CHIETI,Abruzzo,347,0,0,0,0,60,0,0,0,18,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
CAMPOBASSO,Molise,201,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
ISERNIA,Molise,78,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
NAPOLI,Campania,2645,0,0,0,0,0,0,0,86,143,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,18,0,0,0,653
CASERTA,Campania,787,0,0,0,0,0,0,0,8,56,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,6,0,0,0,160
BENEVENTO,Campania,249,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,5,0,0,0,63
AVELLINO,Campania,376,0,0,0,0,0,0,0,16,20,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,9,0,0,0,125
SALERNO,Campania,964,0,0,0,0,0,0,0,27,26,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,28,0,0,0,217
BARI,Puglia,1102,0,0,0,0,0,0,0,28,31,0,0,0,0,146,0,0,55,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,12,0,0,0,242
FOGGIA,Puglia,547,0,0,0,0,0,0,0,10,10,0,0,0,0,74,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,114
TARANTO,Puglia,512,0,0,0,0,0,0,0,20,26,0,0,0,0,42,0,0,36,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,51,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,19,0,0,0,129
BRINDISI,Puglia,351,0,0,0,0,0,0,0,2,18,0,0,0,0,45,0,0,56,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,81,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,13,0,0,0,128
LECCE,Puglia,708,0,0,0,0,0,0,0,20,9,0,0,0,0,37,0,0,24,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,113,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,6,0,0,0,196
BARLETTA-ANDRIA-TRANI,Puglia,339,0,0,0,0,0,0,0,5,14,0,0,0,0,51,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,74
POTENZA,Basilicata,332,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
MATERA,Basilicata,177,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
REGGIO CALABRIA,Sicilia,484,0,0,0,0,0,0,0,40,18,0,0,0,0,0,0,0,30,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
COSENZA,Sicilia,631,0,0,0,0,0,0,0,11,32,0,0,0,0,0,0,0,37,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
CATANZARO,Sicilia,319,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
CROTONE,Sicilia,149,0,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
VIBO VALENTIA,Sicilia,142,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
PALERMO,Sicilia,1100,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,28,2,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,5,0,0,0,0,0,0,0,0,0,187
TRAPANI,Sicilia,381,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,42
AGRIGENTO,Sicilia,389,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,19,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,64
CALTANISSETTA,Sicilia,236,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,49,0,0,0,0,0,0,0,0,0,72
ENNA,Sicilia,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,36,0,0,0,0,0,0,0,0,0,48
RAGUSA,Sicilia,275,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,40,0,0,0,0,0,0,0,0,0,66
SIRACUSA,Sicilia,352,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,51,0,0,0,0,0,0,0,0,0,72
MESSINA,Sicilia,568,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,17,121,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,5,0,0,0,0,0,0,0,0,0,155
CATANIA,Sicilia,959,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,34,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,184,0,0,0,0,0,0,0,0,0,241
CAGLIARI,Sardegna,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,170
SASSARI,Sardegna,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,120
NUORO,Sardegna,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,71
ORISTANO,Sardegna,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,48
OLBIA-TEMPIO,Sardegna,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,69
OGLIASTRA,Sardegna,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,23
MEDIO CAMPIDANO,Sardegna,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,32
CARBONIA-IGLESIAS,Sardegna,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,41
