prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
LODI,Lombardia,201,0,0,0,4,0,0,19,0,0,0,2,0,0,0,0,9,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,2,1,0,0,1,0,50
MONZA E DELLA BRIANZA,Lombardia,766,0,0,0,17,0,0,69,0,0,0,2,0,0,0,0,39,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,12,0,0,13,1,0,0,3,0,155
TRENTO,Trentino,472,120,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173
BOLZANO,Trentino,455,1,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
VENEZIA,Veneto,756,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,31,0,108,0,0,0,0,0,0,0,2,0,0,0,0,0,76,0,0,0,0,0,0,13,0,0,0,0,0,4,0,0,190
VERONA,Veneto,812,0,0,177,0,0,0,14,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,210
VICENZA,Veneto,755,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,41,0,3,0,0,0,190,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,232
BELLUNO,Veneto,181,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55
ROVIGO,Veneto,210,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,51
TREVISO,Veneto,776,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,30,0,103,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,19,0,0,0,0,0,105,0,0,227
PADOVA,Veneto,827,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,39,0,78,0,0,0,1,0,0,0,171,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,2,0,0,250
TRIESTE,Friuli,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,80
GORIZIA,Friuli,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,49
PORDENONE,Friuli,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,47,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
