prov	reg	POPOLAZIONE	L'ADIGE	ALTO ADIGE/TRENTINO	L'ARENA	AVVENIRE	IL CENTRO	CORRIERE ADRIATICO	CORRIERE DELLA SERA	CORRIERE DELLO SPORT - STADIO	CORRIERE DELL'UMBRIA VT RI SI AR	L'ECO DI BERGAMO	IL FATTO QUOTIDIANO	GAZZETTA DI MANTOVA	LA GAZZETTA DEL MEZZOGIORNO	GAZZETTA DI PARMA	GAZZETTA DI REGGIO	LA GAZZETTA DELLO SPORT	GAZZETTA DEL SUD	IL GAZZETTINO	IL GIORNALE	GIORNALE DI BRESCIA	GIORNALE DI SICILIA	IL GIORNALE DI VICENZA	LIBERTA'	IL MATTINO	IL MATTINO DI PADOVA	IL MESSAGGERO	MESSAGGERO VENETO	LA NUOVA FERRARA	NUOVA GAZZETTA DI MODENA/CARPI	LA NUOVA SARDEGNA	LA NUOVA DI VENEZIA E MESTRE	NUOVO QUOTIDIANO DI PUGLIA	IL PICCOLO	LA PROVINCIA PAVESE	QN IL GIORNO	QN LA NAZIONE	QN IL RESTO DEL CARLINO	LA REPUBBLICA	IL SECOLO XIX	LA SICILIA	IL SOLE 24 ORE	LA STAMPA	IL TIRRENO	LA TRIBUNA DI TREVISO	TUTTOSPORT	L'UNIONE SARDA	QUOTIDIANI AUDIPRESS
TORINO	Piemonte	1995	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	30	382	0	0	116	0	555
AOSTA	Aosta	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	24	0	0	3	0	30
VERCELLI	Piemonte	153	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	24	0	0	6	0	46
NOVARA	Piemonte	325	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	49	0	0	4	0	66
CUNEO	Piemonte	514	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	6	106	0	0	9	0	134
ASTI	Piemonte	190	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	50	0	0	6	0	58
ALESSANDRIA	Piemonte	378	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	5	60	0	0	4	0	82
BIELLA	Piemonte	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	1	0	22
VERBANIA	Piemonte	142	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	36	0	0	4	0	44
GENOVA	Liguria	754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	183	0	0	11	0	0	0	0	246
LA SPEZIA	Liguria	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	35	0	0	1	0	0	0	0	72
IMPERIA	Liguria	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	42	0	0	36	0	0	0	0	79
SAVONA	Liguria	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	41	0	0	49	0	0	0	0	82
MILANO	Lombardia	2841	0	0	0	23	0	0	379	0	0	0	29	0	0	0	0	195	0	0	40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	119	0	0	129	0	0	70	21	0	0	32	0	806
VARESE	Lombardia	779	0	0	0	5	0	0	47	0	0	0	5	0	0	0	0	52	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	16	0	0	7	6	0	0	15	0	150
COMO	Lombardia	524	0	0	0	2	0	0	31	0	0	0	3	0	0	0	0	42	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	16	0	0	2	5	0	0	15	0	103
SONDRIO	Lombardia	159	0	0	0	2	0	0	15	0	0	0	3	0	0	0	0	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	4	0	0	9	0	0	0	3	0	39
BERGAMO	Lombardia	965	0	0	0	9	0	0	58	0	0	378	5	0	0	0	0	154	0	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	13	0	0	22	5	0	0	15	0	477
BRESCIA	Lombardia	1099	0	0	0	17	0	0	61	0	0	2	5	0	0	0	0	135	0	0	7	368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	39	0	0	17	1	0	0	14	0	492
PAVIA	Lombardia	483	0	0	0	1	0	0	33	0	0	0	1	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	2	0	0	18	0	0	10	6	0	0	2	0	155
