prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR Maremma,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA (CR),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TEMPO,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,METRO,QUOTIDIANI AUDIPRESS
FERRARA,Emilia-Romagna,318,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,64,1,0,0,0,0,0,0,0,0,0,71,9,0,0,3,1,0,0,0,0,0,0,0,127
RAVENNA,Emilia-Romagna,344,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,96,21,0,0,11,16,0,0,0,0,0,0,0,148
FORLI',Emilia-Romagna,346,0,0,0,0,0,0,22,12,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,94,30,0,0,8,20,0,0,0,0,0,0,0,142
RIMINI,Emilia-Romagna,291,0,0,0,0,0,0,11,7,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,16,0,0,5,11,0,0,0,0,0,0,0,111
FIRENZE,Toscana,883,0,0,0,0,0,0,27,30,1,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,105,0,0,0,0,0,31,0,9,0,0,0,368
MASSA CARRARA,Toscana,179,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,12,0,0,0,0,0,38,0,3,0,0,0,82
LUCCA,Toscana,348,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,12,0,0,0,0,0,71,0,2,0,0,0,128
LIVORNO,Toscana,302,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,17,0,0,0,0,0,135,0,2,0,0,0,155
PISA,Toscana,368,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,16,0,0,0,0,0,124,0,6,0,0,0,169
GROSSETO,Toscana,200,0,0,0,0,0,0,1,5,7,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,0,0,0,0,0,56,0,7,0,0,0,84
PISTOIA,Toscana,256,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,5,0,0,0,0,0,26,0,0,0,0,0,61
AREZZO,Toscana,305,0,0,0,0,0,0,19,14,48,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,13,0,0,0,0,0,0,0,9,0,0,0,135
SIENA,Toscana,239,0,0,0,0,0,0,11,8,32,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,11,0,0,0,0,0,1,0,10,0,0,0,93
PRATO,Toscana,219,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,9,0,0,0,0,0,35,0,4,0,0,0,77
ANCONA,Marche,419,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,54,21,0,0,0,0,0,0,0,0,0,0,0,178
PESARO URBINO,Marche,318,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,67,6,0,0,0,0,0,0,0,0,0,0,0,114
MACERATA,Marche,282,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,92,14,0,0,0,0,0,0,0,0,0,0,0,147
ASCOLI PICENO,Marche,187,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,32,13,0,0,0,0,0,0,0,0,0,0,0,87
FERMO,Marche,155,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,47
PERUGIA,Umbria,582,0,0,0,0,0,0,0,38,147,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,227
TERNI,Umbria,205,0,0,0,0,0,0,0,25,35,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,73
ROMA,Lazio,3752,0,0,0,0,0,0,177,339,5,0,62,0,0,0,0,85,0,0,35,0,0,0,0,0,0,0,676,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,60,0,66,0,0,38,0,416,427,1551
VITERBO,Lazio,284,0,0,0,0,0,0,16,20,59,0,1,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,17,0,0,6,0,3,3,125
RIETI,Lazio,142,0,0,0,0,0,0,4,14,28,0,1,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,9,0,0,9,0,3,3,65
LATINA,Lazio,495,0,0,0,0,0,0,16,30,0,0,1,0,0,0,0,16,0,0,14,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,2,0,11,0,0,13,0,9,11,114
FROSINONE,Lazio,438,0,0,0,0,0,0,16,27,0,0,0,0,0,0,0,24,0,0,14,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,9,0,13,0,0,10,0,4,5,110
L'AQUILA,Abruzzo,272,0,0,0,0,80,0,0,14,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,117
TERAMO,Abruzzo,273,0,0,0,0,72,0,0,21,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,100
PESCARA,Abruzzo,282,0,0,0,0,60,0,0,18,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,87
CHIETI,Abruzzo,347,0,0,0,0,62,0,0,9,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,102
CAMPOBASSO,Molise,202,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,47
ISERNIA,Molise,78,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,19
NAPOLI,Campania,2644,0,0,0,0,0,0,127,197,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,21,0,0,0,0,17,0,0,0,725
CASERTA,Campania,783,0,0,0,0,0,0,31,60,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,2,0,0,0,0,9,0,0,0,195
BENEVENTO,Campania,249,0,0,0,0,0,0,7,24,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,8,0,0,0,85
AVELLINO,Campania,377,0,0,0,0,0,0,13,51,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,14,0,0,0,0,16,0,0,0,132
SALERNO,Campania,960,0,0,0,0,0,0,22,13,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,13,0,0,0,0,24,0,0,0,173
BARI,Puglia,1096,0,0,0,0,0,0,38,21,0,0,0,0,127,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,10,0,0,0,215
FOGGIA,Puglia,547,0,0,0,0,0,0,9,12,0,0,0,0,66,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,7,0,0,0,109
TARANTO,Puglia,512,0,0,0,0,0,0,27,20,0,0,0,0,48,0,0,38,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,54,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,16,0,0,0,129
BRINDISI,Puglia,351,0,0,0,0,0,0,11,17,0,0,0,0,44,0,0,42,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,66,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,15,0,0,0,125
LECCE,Puglia,707,0,0,0,0,0,0,12,11,0,0,0,0,43,0,0,51,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,104,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,6,0,0,0,174
BARLETTA-ANDRIA-TRANI,Puglia,337,0,0,0,0,0,0,13,16,0,0,0,0,60,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,0,0,86
POTENZA,Basilicata,333,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
MATERA,Basilicata,176,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
REGGIO CALABRIA,Sicilia,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
COSENZA,Sicilia,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189
CATANZARO,Sicilia,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
CROTONE,Sicilia,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
VIBO VALENTIA,Sicilia,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
PALERMO,Sicilia,1098,0,0,0,0,0,0,23,19,0,0,0,0,0,0,0,21,1,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,4,0,0,0,0,0,11,0,0,0,200
TRAPANI,Sicilia,380,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,16,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,58
AGRIGENTO,Sicilia,389,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,31,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,0,0,6,0,0,0,92
CALTANISSETTA,Sicilia,236,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,14,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,43,0,0,0,0,0,2,0,0,0,58
ENNA,Sicilia,150,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,0,0,0,0,0,1,0,0,0,50
RAGUSA,Sicilia,274,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,16,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,45,0,0,0,0,0,4,0,0,0,63
SIRACUSA,Sicilia,351,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,12,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,51,0,0,0,0,0,6,0,0,0,69
MESSINA,Sicilia,570,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,18,101,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,11,0,0,0,0,0,7,0,0,0,152
CATANIA,Sicilia,957,0,0,0,0,0,0,24,17,0,0,0,0,0,0,0,54,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,208,0,0,0,0,0,26,0,0,0,258
CAGLIARI,Sardegna,497,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,182,0,0,205
SASSARI,Sardegna,297,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,15,0,0,154
