prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR Maremma,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA (CR),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TEMPO,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,METRO,QUOTIDIANI AUDIPRESS
TORINO,Piemonte,2015,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,448,0,0,0,70,0,0,77,653
AOSTA,Aosta,112,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,33,0,0,0,3,0,0,1,44
VERCELLI,Piemonte,158,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,0,0,0,3,0,0,0,40
NOVARA,Piemonte,325,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,41,0,0,0,7,0,0,2,65
CUNEO,Piemonte,516,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,146,0,0,0,18,0,0,4,176
ASTI,Piemonte,194,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,0,0,4,0,0,0,42
ALESSANDRIA,Piemonte,387,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,71,0,0,0,2,0,0,0,88
BIELLA,Piemonte,163,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,32,0,0,0,4,0,0,0,45
VERBANIA,Piemonte,143,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,32,0,0,0,4,0,0,0,44
GENOVA,Liguria,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61,257,0,0,34,0,0,0,0,0,0,0,349
LA SPEZIA,Liguria,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,12,34,0,0,2,0,0,0,0,0,0,0,93
IMPERIA,Liguria,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,0,0,35,0,0,0,0,0,0,0,65
SAVONA,Liguria,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,46,0,0,36,0,0,0,0,0,0,0,88
MILANO,Lombardia,2757,0,0,0,17,0,0,452,0,0,3,21,0,0,0,0,230,0,0,38,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,142,0,0,37,0,0,0,0,31,0,201,207,1024
VARESE,Lombardia,772,0,0,0,4,0,0,35,0,0,0,6,0,0,0,0,43,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,11,0,0,14,0,0,5,0,0,0,0,4,0,8,12,120
COMO,Lombardia,520,0,0,0,7,0,0,40,0,0,0,3,0,0,0,0,43,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,127,0,0,10,0,0,17,0,0,9,0,0,0,0,6,0,7,4,218
SONDRIO,Lombardia,159,0,0,0,4,0,0,14,0,0,0,1,1,0,0,0,16,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,41,0,0,38,0,0,7,0,0,4,0,0,0,0,4,0,0,0,80
BERGAMO,Lombardia,947,0,0,0,5,0,0,80,0,0,266,7,0,0,0,0,90,0,0,16,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,28,0,0,16,0,0,0,0,8,0,8,10,381
BRESCIA,Lombardia,1083,0,0,0,11,0,0,74,0,0,1,5,1,0,0,0,142,0,0,7,365,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,33,0,0,36,0,0,0,0,8,0,1,0,486
PAVIA,Lombardia,483,0,0,0,6,0,0,41,0,0,1,9,0,0,0,0,33,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,126,5,0,0,19,0,0,9,0,0,0,0,2,0,3,2,208
CREMONA,Lombardia,317,0,0,0,7,0,0,30,0,0,2,1,0,0,0,0,46,0,0,8,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,148,0,7,0,0,16,0,0,10,0,0,0,0,8,0,2,2,183
MANTOVA,Lombardia,361,0,0,0,3,0,0,24,0,0,0,2,152,0,0,0,32,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,13,0,0,12,0,0,0,0,3,0,0,0,186
LECCO,Lombardia,295,0,0,0,3,0,0,28,0,0,0,0,0,0,0,0,19,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,37,0,0,7,0,0,7,0,0,13,0,0,0,0,1,0,0,1,92
LODI,Lombardia,198,0,0,0,4,0,0,13,0,0,0,1,0,0,0,0,19,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,4,0,0,7,0,0,0,0,5,0,4,5,60
MONZA E DELLA BRIANZA,Lombardia,745,0,0,0,6,0,0,84,0,0,2,4,0,0,0,0,67,0,0,32,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,25,0,0,12,0,0,0,0,11,0,12,11,268
TRENTO,Trentino,461,168,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
BOLZANO,Trentino,438,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
VENEZIA,Veneto,753,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,30,0,141,0,0,0,1,0,0,0,3,0,0,0,0,0,116,0,0,0,0,0,0,0,0,55,0,0,6,0,0,0,1,0,0,0,0,275
VERONA,Veneto,796,0,0,259,0,0,0,37,0,0,0,0,0,0,0,0,78,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,19,0,0,0,0,0,0,0,0,326
VICENZA,Veneto,748,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,38,0,11,0,0,0,186,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,236
BELLUNO,Veneto,185,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,12,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1,0,0,0,0,79
ROVIGO,Veneto,218,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,22,0,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,10,0,0,0,0,0,0,0,0,96
TREVISO,Veneto,763,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,27,0,116,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15,0,0,8,0,0,0,122,0,0,0,0,243
PADOVA,Veneto,814,0,0,1,0,0,0,61,0,0,0,0,0,0,0,0,46,0,121,0,0,0,4,0,0,0,176,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,15,0,0,0,0,0,0,0,0,349
TRIESTE,Friuli,211,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,103,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,119
GORIZIA,Friuli,125,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,51,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,64
PORDENONE,Friuli,273,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,37,0,77,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,135
UDINE,Friuli,475,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,40,0,31,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,4,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,254
BOLOGNA,Emilia-Romagna,878,0,0,0,0,0,0,50,23,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,262,134,0,0,13,12,0,0,0,0,0,0,0,427
PIACENZA,Emilia-Romagna,254,0,0,0,0,0,0,24,2,0,0,0,0,0,2,0,22,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,2,0,0,0,0,0,0,0,143
REGGIO EMILIA,Emilia-Romagna,458,0,0,0,0,0,0,23,4,0,0,0,0,0,14,107,35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,66,24,0,0,6,5,0,0,0,0,0,0,0,211
MODENA,Emilia-Romagna,606,0,0,0,0,0,0,26,8,0,0,0,0,0,0,5,33,0,0,0,0,0,0,0,0,0,0,0,0,2,109,0,0,0,0,0,0,0,0,0,124,38,0,0,10,7,0,0,0,0,0,0,0,265
PARMA,Emilia-Romagna,388,0,0,0,0,0,0,22,3,0,0,0,0,0,164,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,2,0,0,0,0,0,0,0,198
