prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLE ALPI,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,METRO,QUOTIDIANI AUDIPRESS
CASERTA,Campania,789,0,0,0,0,0,0,0,15,64,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,180
BENEVENTO,Campania,248,0,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,63
AVELLINO,Campania,375,0,0,0,0,0,0,0,5,24,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,100
SALERNO,Campania,964,0,0,0,0,0,0,0,20,19,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,186
BARI,Puglia,1103,0,0,0,0,0,0,0,17,25,0,0,0,0,142,0,0,59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,16,0,0,0,14,0,0,0,242
FOGGIA,Puglia,546,0,0,0,0,0,0,0,20,17,0,0,0,0,81,0,0,46,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,10,0,0,0,5,0,0,0,144
TARANTO,Puglia,511,0,0,0,0,0,0,0,16,16,0,0,0,0,48,0,0,33,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,56,0,0,0,0,0,0,17,0,0,5,0,0,0,16,0,0,0,139
BRINDISI,Puglia,350,0,0,0,0,0,0,0,9,11,0,0,0,0,37,0,0,32,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,59,0,0,0,0,0,0,12,0,0,5,0,0,0,13,0,0,0,110
LECCE,Puglia,708,0,0,0,0,0,0,0,16,15,0,0,0,0,31,0,0,27,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,102,0,0,0,0,0,0,11,0,0,13,0,0,0,7,0,0,0,180
BARLETTA-ANDRIA-TRANI,Puglia,339,0,0,0,0,0,0,0,9,11,0,0,0,0,46,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,6,0,0,0,73
POTENZA,Basilicata,331,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
MATERA,Basilicata,177,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
REGGIO CALABRIA,Sicilia,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143
COSENZA,Sicilia,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113
CATANZARO,Sicilia,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
CROTONE,Sicilia,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
VIBO VALENTIA,Sicilia,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
