prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLE ALPI,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA (CR),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,METRO,QUOTIDIANI AUDIPRESS
PIACENZA,Emilia-Romagna,253,0,0,0,0,0,0,0,14,1,0,0,0,0,0,4,0,23,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,2,0,0,0,133
REGGIO EMILIA,Emilia-Romagna,458,0,0,0,0,0,0,0,23,4,0,0,0,0,0,6,99,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,62,25,0,0,0,7,0,0,1,0,0,0,201
MODENA,Emilia-Romagna,608,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,57,27,0,0,0,2,0,0,3,0,0,0,216
PARMA,Emilia-Romagna,392,0,0,0,0,0,0,0,23,1,0,0,0,0,0,152,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3,0,0,3,0,0,0,186
FERRARA,Emilia-Romagna,315,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,73,1,0,0,0,0,0,0,0,0,0,66,10,0,0,0,2,0,0,10,0,0,0,141
RAVENNA,Emilia-Romagna,344,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,26,0,0,0,21,0,0,13,0,0,0,133
FORLI',Emilia-Romagna,345,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,24,0,0,0,22,0,0,13,0,0,0,162
RIMINI,Emilia-Romagna,292,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,23,0,0,0,21,0,0,9,0,0,0,127
FIRENZE,Toscana,890,0,0,0,0,0,0,0,28,31,1,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,75,0,0,0,0,36,0,0,0,0,0,307
MASSA CARRARA,Toscana,176,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,5,0,0,0,0,28,0,0,0,0,0,69
LUCCA,Toscana,346,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,23,0,0,0,0,78,0,0,0,0,0,137
LIVORNO,Toscana,300,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,16,0,0,0,0,94,0,0,0,0,0,118
PISA,Toscana,369,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,19,0,0,0,0,119,0,0,0,0,0,164
GROSSETO,Toscana,199,0,0,0,0,0,0,0,9,4,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,7,0,0,0,0,56,0,0,0,0,0,87
PISTOIA,Toscana,257,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,8,0,0,0,0,46,0,0,0,0,0,99
AREZZO,Toscana,304,0,0,0,0,0,0,0,8,10,42,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,11,0,0,0,0,0,0,0,0,0,0,115
SIENA,Toscana,237,0,0,0,0,0,0,0,4,11,23,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,8,0,0,0,0,0,0,0,0,0,0,78
PRATO,Toscana,219,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,11,0,0,0,0,37,0,0,0,0,0,90
ANCONA,Marche,417,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,148
PESARO URBINO,Marche,316,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,131
MACERATA,Marche,281,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,131
ASCOLI PICENO,Marche,186,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,79
FERMO,Marche,155,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,61
PERUGIA,Umbria,580,0,0,0,0,0,0,0,0,39,117,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213
TERNI,Umbria,204,0,0,0,0,0,0,0,0,11,32,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
ROMA,Lazio,3774,0,0,0,0,0,0,0,175,376,1,0,55,0,0,0,0,103,0,0,45,0,0,0,0,0,0,0,669,0,0,0,0,0,0,0,0,0,0,0,0,0,329,0,0,83,0,0,0,46,0,381,364,1484
VITERBO,Lazio,283,0,0,0,0,0,0,0,3,25,54,0,3,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,0,0,2,0,1,1,97
RIETI,Lazio,141,0,0,0,0,0,0,0,3,16,22,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,2,0,1,3,48
LATINA,Lazio,500,0,0,0,0,0,0,0,10,16,0,0,0,0,0,0,0,13,0,0,9,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,6,0,0,0,5,0,1,0,70
FROSINONE,Lazio,436,0,0,0,0,0,0,0,10,21,0,0,2,0,0,0,0,18,0,0,8,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,4,0,1,0,76
L'AQUILA,Abruzzo,269,0,0,0,0,83,0,0,0,27,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
TERAMO,Abruzzo,273,0,0,0,0,76,0,0,0,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
PESCARA,Abruzzo,282,0,0,0,0,65,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
CHIETI,Abruzzo,345,0,0,0,0,74,0,0,0,14,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95
CAMPOBASSO,Molise,201,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
ISERNIA,Molise,77,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
NAPOLI,Campania,2650,0,0,0,0,0,0,0,83,137,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,641
CASERTA,Campania,789,0,0,0,0,0,0,0,13,59,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,177
BENEVENTO,Campania,248,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,63
AVELLINO,Campania,375,0,0,0,0,0,0,0,3,30,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,107
SALERNO,Campania,964,0,0,0,0,0,0,0,18,24,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,196
BARI,Puglia,1103,0,0,0,0,0,0,0,17,24,0,0,0,0,148,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,16,0,0,0,240
FOGGIA,Puglia,546,0,0,0,0,0,0,0,15,17,0,0,0,0,84,0,0,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,141
TARANTO,Puglia,511,0,0,0,0,0,0,0,11,16,0,0,0,0,36,0,0,21,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,47,0,0,0,0,0,0,0,18,0,0,0,0,0,0,12,0,0,0,119
BRINDISI,Puglia,350,0,0,0,0,0,0,0,11,9,0,0,0,0,47,0,0,31,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,84,0,0,0,0,0,0,0,12,0,0,0,0,0,0,13,0,0,0,134
LECCE,Puglia,708,0,0,0,0,0,0,0,17,14,0,0,0,0,28,0,0,35,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,93,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,164
BARLETTA-ANDRIA-TRANI,Puglia,339,0,0,0,0,0,0,0,10,15,0,0,0,0,51,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,77
POTENZA,Basilicata,331,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
MATERA,Basilicata,177,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
REGGIO CALABRIA,Sicilia,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
COSENZA,Sicilia,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
CATANZARO,Sicilia,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
CROTONE,Sicilia,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
VIBO VALENTIA,Sicilia,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
PALERMO,Sicilia,1097,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,33,2,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,9,0,0,0,0,0,0,0,0,207
