prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
FROSINONE,Lazio,432,0,0,0,0,0,0,10,21,0,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,11,0,89
L'AQUILA,Abruzzo,266,0,0,0,0,52,0,0,11,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
TERAMO,Abruzzo,272,0,0,0,0,61,0,0,8,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
PESCARA,Abruzzo,281,0,0,0,0,56,0,0,10,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
CHIETI,Abruzzo,342,0,0,0,0,65,0,0,13,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
CAMPOBASSO,Molise,198,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
ISERNIA,Molise,76,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
NAPOLI,Campania,2650,0,0,0,0,0,0,112,151,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,533
CASERTA,Campania,795,0,0,0,0,0,0,27,29,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,129
BENEVENTO,Campania,246,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,59
AVELLINO,Campania,371,0,0,0,0,0,0,10,14,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,94
SALERNO,Campania,963,0,0,0,0,0,0,25,32,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,173
BARI,Puglia,1099,0,0,0,0,0,0,23,30,0,0,0,0,129,0,0,74,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,35,0,0,21,0,0,0,0,0,219
FOGGIA,Puglia,543,0,0,0,0,0,0,12,16,0,0,0,0,62,0,0,34,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,11,0,0,9,0,0,0,0,0,104
TARANTO,Puglia,507,0,0,0,0,0,0,17,26,0,0,0,0,45,0,0,39,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,72,0,0,0,0,0,28,0,0,15,0,0,0,0,0,145
BRINDISI,Puglia,348,0,0,0,0,0,0,6,7,0,0,0,0,36,0,0,38,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,50,0,0,0,0,0,10,0,0,2,0,0,0,0,0,99
LECCE,Puglia,705,0,0,0,0,0,0,6,9,0,0,0,0,27,0,0,38,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,127,0,0,0,0,0,8,0,0,6,0,0,0,0,0,175
BARLETTA-ANDRIA-TRANI,Puglia,340,0,0,0,0,0,0,8,11,0,0,0,0,54,0,0,28,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,80
POTENZA,Basilicata,326,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
MATERA,Basilicata,175,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
REGGIO CALABRIA,Sicilia,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108
COSENZA,Sicilia,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
CATANZARO,Sicilia,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
CROTONE,Sicilia,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
VIBO VALENTIA,Sicilia,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
PALERMO,Sicilia,1086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,4,0,0,0,0,0,0,150
TRAPANI,Sicilia,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,33
AGRIGENTO,Sicilia,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,17,0,0,0,0,0,0,60
CALTANISSETTA,Sicilia,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,0,0,0,0,0,49
ENNA,Sicilia,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,0,0,0,0,0,0,36
RAGUSA,Sicilia,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,30,0,0,0,0,0,0,53
SIRACUSA,Sicilia,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,31,0,0,0,0,0,0,47
MESSINA,Sicilia,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,74,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,99
CATANIA,Sicilia,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,126,0,0,0,0,0,0,163
CAGLIARI,Sardegna,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,105
SASSARI,Sardegna,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,145
NUORO,Sardegna,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,78
ORISTANO,Sardegna,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,41
OLBIA-TEMPIO,Sardegna,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,82
OGLIASTRA,Sardegna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDIO CAMPIDANO,Sardegna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARBONIA-IGLESIAS,Sardegna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
