prov	reg	POPOLAZIONE	L'ADIGE	ALTO ADIGE/TRENTINO	L'ARENA	AVVENIRE	IL CENTRO	CORRIERE ADRIATICO	CORRIERE DELLA SERA	CORRIERE DELLO SPORT - STADIO	CORRIERE DELL'UMBRIA VT RI SI AR	L'ECO DI BERGAMO	IL FATTO QUOTIDIANO	GAZZETTA DI MANTOVA	LA GAZZETTA DEL MEZZOGIORNO	GAZZETTA DI PARMA	GAZZETTA DI REGGIO	LA GAZZETTA DELLO SPORT	GAZZETTA DEL SUD	IL GAZZETTINO	IL GIORNALE	GIORNALE DI BRESCIA	GIORNALE DI SICILIA	IL GIORNALE DI VICENZA	LIBERTA'	IL MATTINO	IL MATTINO DI PADOVA	IL MESSAGGERO	MESSAGGERO VENETO	LA NUOVA FERRARA	NUOVA GAZZETTA DI MODENA/CARPI	LA NUOVA SARDEGNA	LA NUOVA DI VENEZIA E MESTRE	NUOVO QUOTIDIANO DI PUGLIA	IL PICCOLO	LA PROVINCIA PAVESE	QN IL GIORNO	QN LA NAZIONE	QN IL RESTO DEL CARLINO	LA REPUBBLICA	IL SECOLO XIX	LA SICILIA	IL SOLE 24 ORE	LA STAMPA	IL TIRRENO	LA TRIBUNA DI TREVISO	TUTTOSPORT	L'UNIONE SARDA	QUOTIDIANI AUDIPRESS
VICENZA	Veneto	751	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	32	0	6	0	0	0	183	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	7	0	0	1	0	0	234
BELLUNO	Veneto	183	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	12	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	73
ROVIGO	Veneto	212	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	17	0	33	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	62
TREVISO	Veneto	770	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	42	0	115	0	0	0	5	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	14	0	0	11	0	0	123	0	0	248
PADOVA	Veneto	820	0	0	1	0	0	0	34	0	0	0	0	0	0	0	0	56	0	111	0	0	0	4	0	0	198	0	0	0	0	0	2	0	0	0	0	0	0	19	0	0	19	0	0	2	0	0	311
TRIESTE	Friuli	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	101
GORIZIA	Friuli	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	57
PORDENONE	Friuli	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	75	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129
UDINE	Friuli	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	18	0	0	0	0	0	0	0	0	165	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	205
BOLOGNA	Emilia-Romagna	889	0	0	0	0	0	0	33	33	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	160	81	0	0	0	4	0	0	0	0	269
PIACENZA	Emilia-Romagna	253	0	0	0	0	0	0	16	0	0	0	0	0	0	1	0	27	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	139
REGGIO EMILIA	Emilia-Romagna	460	0	0	0	0	0	0	23	3	0	0	0	0	0	4	104	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	28	0	0	0	2	0	0	0	0	196
MODENA	Emilia-Romagna	610	0	0	0	0	0	0	35	3	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	72	31	0	0	0	2	0	0	0	0	230
PARMA	Emilia-Romagna	394	0	0	0	0	0	0	26	1	0	0	0	0	0	167	0	29	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	204
FERRARA	Emilia-Romagna	311	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	77	7	0	0	0	0	0	0	0	0	128
RAVENNA	Emilia-Romagna	345	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	115	28	0	0	0	21	0	0	0	0	163
FORLI'	Emilia-Romagna	345	0	0	0	0	0	0	14	16	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	20	0	0	0	31	0	0	0	0	180
RIMINI	Emilia-Romagna	295	0	0	0	0	0	0	18	18	0	0	0	0	0	0	0	45	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	110	13	0	0	0	24	0	0	0	0	153
FIRENZE	Toscana	893	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	74	0	0	0	0	19	0	0	0	258
MASSA CARRARA	Toscana	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	5	0	0	0	0	36	0	0	0	60
LUCCA	Toscana	345	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	4	0	0	0	0	49	0	0	0	111
LIVORNO	Toscana	299	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	8	0	0	0	0	95	0	0	0	121
PISA	Toscana	370	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	9	0	0	0	0	86	0	0	0	142
GROSSETO	Toscana	199	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	1	0	0	0	0	50	0	0	0	76
PISTOIA	Toscana	258	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	9	0	0	0	0	32	0	0	0	77
AREZZO	Toscana	304	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	17	0	0	0	0	0	0	0	0	129
SIENA	Toscana	237	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	6	0	0	0	0	0	0	0	0	63
PRATO	Toscana	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	6	0	0	0	0	27	0	0	0	70
ANCONA	Marche	416	0	0	0	0	0	97	12	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	37	12	0	0	0	0	0	0	0	0	135
