prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
PORDENONE,Friuli,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,58
UDINE,Friuli,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,64,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
BOLOGNA,Emilia-Romagna,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,22,0,0,0,0,0,0,0,0,156,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,189
PIACENZA,Emilia-Romagna,893,0,0,0,0,0,0,34,26,0,0,0,0,0,2,0,38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,163,80,0,0,12,7,0,0,11,0,281
REGGIO EMILIA,Emilia-Romagna,253,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,0,0,0,0,0,132
MODENA,Emilia-Romagna,461,0,0,0,0,0,0,19,0,0,0,0,0,0,0,104,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59,29,0,0,4,6,0,0,2,0,201
PARMA,Emilia-Romagna,614,0,0,0,0,0,0,28,3,0,0,0,0,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,1,101,0,0,0,0,0,0,0,88,24,0,0,8,2,0,0,2,0,222
FERRARA,Emilia-Romagna,396,0,0,0,0,0,0,29,2,0,0,0,0,0,161,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,11,1,0,0,1,0,209
RAVENNA,Emilia-Romagna,311,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,76,6,0,0,3,1,0,0,2,0,117
FORLI',Emilia-Romagna,344,0,0,0,0,0,0,23,12,0,0,0,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,21,0,0,9,20,0,0,11,0,172
RIMINI,Emilia-Romagna,346,0,0,0,0,0,0,18,10,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,18,0,0,9,32,0,0,7,0,154
FIRENZE,Toscana,297,0,0,0,0,0,0,26,36,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,31,0,0,10,32,0,0,18,0,174
MASSA CARRARA,Toscana,893,0,0,0,0,0,0,28,23,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,64,0,0,0,0,14,0,0,0,250
LUCCA,Toscana,175,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,6,0,0,0,0,43,0,0,0,73
LIVORNO,Toscana,345,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,4,0,0,0,0,47,0,0,0,97
PISA,Toscana,298,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,9,0,0,0,0,93,0,0,0,117
GROSSETO,Toscana,369,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,7,0,0,0,0,62,0,0,0,116
PISTOIA,Toscana,199,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,0,39,0,0,0,59
AREZZO,Toscana,258,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,19,0,0,0,0,46,0,0,0,94
SIENA,Toscana,304,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,12,0,0,0,0,0,0,0,0,106
PRATO,Toscana,236,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,10,0,0,0,0,0,0,0,0,72
ANCONA,Marche,224,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,10,0,0,0,0,27,0,0,0,79
PESARO URBINO,Marche,415,0,0,0,0,0,93,13,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,55,14,0,0,0,0,0,0,0,0,143
MACERATA,Marche,316,0,0,0,0,0,65,30,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,154,20,0,0,0,0,0,0,0,0,177
ASCOLI PICENO,Marche,277,0,0,0,0,0,40,7,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,57,8,0,0,0,0,0,0,0,0,105
FERMO,Marche,184,0,0,0,0,0,38,13,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,26,8,0,0,0,0,0,0,0,0,68
PERUGIA,Umbria,154,0,0,0,0,0,46,7,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,41,3,0,0,0,0,0,0,0,0,83
TERNI,Umbria,578,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,207
ROMA,Lazio,202,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,62
VITERBO,Lazio,3794,0,0,0,0,0,0,186,325,30,0,50,0,0,0,0,104,0,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,321,0,0,78,0,0,0,36,0,1112
RIETI,Lazio,281,0,0,0,0,0,0,5,35,84,0,2,0,0,0,0,14,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,5,0,118
LATINA,Lazio,139,0,0,0,0,0,0,3,11,17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,37
FROSINONE,Lazio,502,0,0,0,0,0,0,14,46,0,0,8,0,0,0,0,23,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,12,0,0,7,0,0,0,10,0,123
