prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,QUOTIDIANI AUDIPRESS
TRIESTE,Friuli,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
GORIZIA,Friuli,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
PORDENONE,Friuli,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,57,0,0,0,0,0,0,0,0,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
UDINE,Friuli,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,13,0,0,0,0,0,0,0,0,179,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211
BOLOGNA,Emilia-Romagna,886,0,0,0,0,0,0,16,36,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,201,80,0,0,0,4,0,0,6,0,0,304
PIACENZA,Emilia-Romagna,253,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,3,0,0,143
REGGIO EMILIA,Emilia-Romagna,458,0,0,0,0,0,0,31,4,0,0,0,0,0,1,102,25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,48,28,0,0,0,2,0,0,3,0,0,194
MODENA,Emilia-Romagna,608,0,0,0,0,0,0,27,2,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,75,41,0,0,0,2,0,0,1,0,0,229
PARMA,Emilia-Romagna,393,0,0,0,0,0,0,22,1,0,0,0,0,0,162,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,0,3,0,0,201
FERRARA,Emilia-Romagna,312,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,71,12,0,0,0,9,0,0,1,0,0,128
RAVENNA,Emilia-Romagna,344,0,0,0,0,0,0,13,7,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,15,0,0,0,14,0,0,11,0,0,131
FORLI',Emilia-Romagna,345,0,0,0,0,0,0,17,11,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,16,0,0,0,23,0,0,7,0,0,153
RIMINI,Emilia-Romagna,294,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,15,0,0,0,14,0,0,16,0,0,130
FIRENZE,Toscana,893,0,0,0,0,0,0,30,30,1,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,92,0,0,0,0,33,0,15,0,0,330
MASSA CARRARA,Toscana,176,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,2,0,0,0,0,32,0,3,0,0,68
LUCCA,Toscana,345,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,8,0,0,0,0,57,0,5,0,0,121
LIVORNO,Toscana,300,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,15,0,0,0,0,112,0,4,0,0,133
PISA,Toscana,370,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,7,0,0,0,0,119,0,6,0,0,162
GROSSETO,Toscana,199,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,3,0,0,0,0,42,0,3,0,0,69
PISTOIA,Toscana,257,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,4,0,0,0,0,39,0,5,0,0,77
AREZZO,Toscana,304,0,0,0,0,0,0,9,9,36,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,14,0,0,0,0,0,0,4,0,0,108
SIENA,Toscana,237,0,0,0,0,0,0,7,11,32,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,9,0,0,0,0,0,0,5,0,0,104
PRATO,Toscana,221,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,6,0,0,0,0,16,0,4,0,0,71
ANCONA,Marche,416,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,42,15,0,0,0,0,0,0,0,0,0,170
PESARO URBINO,Marche,316,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,124,23,0,0,0,0,0,0,0,0,0,169
MACERATA,Marche,281,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,69,5,0,0,0,0,0,0,0,0,0,116
ASCOLI PICENO,Marche,186,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,44,12,0,0,0,0,0,0,0,0,0,88
FERMO,Marche,154,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,43,2,0,0,0,0,0,0,0,0,0,90
PERUGIA,Umbria,580,0,0,0,0,0,0,0,39,116,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
TERNI,Umbria,203,0,0,0,0,0,0,0,15,32,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
ROMA,Lazio,3789,0,0,0,0,0,0,208,348,1,0,84,0,0,0,0,117,0,0,44,0,0,0,0,0,0,632,0,0,0,0,0,0,0,0,0,0,0,0,396,0,0,86,0,0,0,48,0,393,1462
