prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
TORINO,Piemonte,1995,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,394,0,0,117,0,550
AOSTA,Aosta,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,21,0,0,2,0,26
VERCELLI,Piemonte,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,18,0,0,4,0,33
NOVARA,Piemonte,325,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,45,0,0,6,0,65
CUNEO,Piemonte,514,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,127,0,0,18,0,157
ASTI,Piemonte,190,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,45,0,0,5,0,53
ALESSANDRIA,Piemonte,378,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,63,0,0,5,0,92
BIELLA,Piemonte,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,3,0,22
VERBANIA,Piemonte,142,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,0,0,3,0,36
GENOVA,Liguria,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,205,0,0,11,0,0,0,0,256
LA SPEZIA,Liguria,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,35,0,0,0,0,0,0,0,83
IMPERIA,Liguria,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,41,0,0,30,0,0,0,0,73
SAVONA,Liguria,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,60,0,0,63,0,0,0,0,99
MILANO,Lombardia,2841,0,0,0,19,0,0,343,0,0,1,0,0,0,0,0,184,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,115,0,0,118,0,0,45,0,0,0,34,0,710
VARESE,Lombardia,779,0,0,0,7,0,0,43,0,0,0,0,0,0,0,0,65,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,18,0,0,12,0,0,0,12,0,147
COMO,Lombardia,524,0,0,0,6,0,0,31,0,0,0,0,0,0,0,0,42,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,2,0,0,0,14,0,102
SONDRIO,Lombardia,159,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,3,0,0,2,0,0,0,6,0,47
BERGAMO,Lombardia,965,0,0,0,9,0,0,42,0,0,393,0,1,0,0,0,163,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,13,0,0,0,18,0,471
BRESCIA,Lombardia,1099,0,0,0,15,0,0,68,0,0,2,0,1,0,0,0,168,0,0,10,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,29,0,0,19,0,0,0,20,0,530
PAVIA,Lombardia,483,0,0,0,1,0,0,27,0,0,0,0,0,0,0,0,32,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,10,0,0,14,0,0,6,0,0,0,3,0,170
CREMONA,Lombardia,316,0,0,0,3,0,0,22,0,0,0,0,4,0,0,0,43,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,5,0,0,0,0,0,80
MANTOVA,Lombardia,361,0,0,0,2,0,0,22,0,0,0,0,153,0,0,0,46,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,4,0,0,0,1,0,184
LECCO,Lombardia,295,0,0,0,3,0,0,27,0,0,1,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,0,0,1,0,0,0,6,0,48
LODI,Lombardia,200,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,1,0,0,0,0,0,37
MONZA E DELLA BRIANZA,Lombardia,761,0,0,0,2,0,0,66,0,0,0,0,0,0,0,0,58,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,20,0,0,7,0,0,0,6,0,173
TRENTO,Trentino,469,166,96,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
BOLZANO,Trentino,453,2,88,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
VENEZIA,Veneto,756,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,35,0,125,0,0,0,0,0,0,6,0,0,0,0,0,106,0,0,0,0,0,0,20,0,0,0,0,0,3,0,0,233
VERONA,Veneto,806,0,0,196,0,0,0,17,0,0,0,0,0,0,0,0,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,238
VICENZA,Veneto,752,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,29,0,7,0,0,0,178,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,223
