prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
TORINO,Piemonte,1968,0,0,0,0,0,0,47,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,40,288,0,0,59,0,454
AOSTA,Aosta,110,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,24,0,0,1,0,31
VERCELLI,Piemonte,149,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,30,0,0,1,0,39
NOVARA,Piemonte,320,0,0,0,0,0,0,14,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,36,0,0,1,0,64
CUNEO,Piemonte,511,0,0,0,0,0,0,11,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,94,0,0,13,0,136
ASTI,Piemonte,186,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,18,0,0,5,0,31
ALESSANDRIA,Piemonte,368,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,32,0,0,5,0,69
BIELLA,Piemonte,155,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,31,0,0,7,0,46
VERBANIA,Piemonte,139,0,0,0,0,0,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,20,0,0,1,0,39
GENOVA,Liguria,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,10,0,0,0,0,208
LA SPEZIA,Liguria,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1,0,0,0,0,59
IMPERIA,Liguria,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,20,0,0,0,0,47
SAVONA,Liguria,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,21,0,0,0,0,69
MILANO,Lombardia,2846,0,0,0,19,0,0,309,11,0,7,27,1,0,0,113,0,0,23,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,57,0,0,100,0,0,67,18,0,0,28,0,636
VARESE,Lombardia,773,0,0,0,2,0,0,64,9,0,0,13,0,0,0,42,0,0,9,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,15,0,0,22,6,0,0,5,0,144
COMO,Lombardia,524,0,0,0,4,0,0,26,7,0,0,5,0,0,0,32,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,16,0,0,9,3,0,0,11,0,93
